"","Cluster","n","AGE","MALE","OLIGO","ASTRO","GBM","DEAD","IDH1","PTEN","EGFR","TP53","PIK3CA"
"1","Cluster 1",86,59.07,50.59,0,0,78,62.79,0,31.4,26.74,18.6,10.47
"2","Cluster 2",127,38.31,64.57,8,117,1,18.9,99.21,0,0,90.55,4.72
"3","Cluster 3",105,44.92,49.52,76,25,1,18.1,84.76,0,1.9,20,13.33
