"","Factor 1","Factor 2","Factor 3","Factor 4"
"ARID1A",3.02021562674781e-05,5.20783978572581e-05,-3.43615174642764e-05,-4.04103229811881e-05
"WDR63",-5.41845065527014e-06,5.52106121176621e-06,-1.96518158190884e-06,4.18768513554824e-06
"NBPF10",-1.02570747912978e-05,-2.16569605981931e-05,-6.486502570624e-06,-3.43689907822409e-06
"CR2",-4.51792675448814e-06,-9.53729067987297e-06,8.63025070430012e-06,-6.1572413869726e-06
"TUBA3C",-7.42198699299479e-06,-3.74966875824612e-05,-1.26672457554378e-05,2.98717486657551e-06
"AHNAK2",-3.72321119357366e-05,-4.21875738538802e-05,-6.02446270931978e-05,1.7491420294391e-05
"ADAMTS7",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"KRT37",-1.31489014165709e-06,-1.15826014734921e-05,-7.9050241765799e-06,-9.22278559301049e-06
"DGKD",-1.00592978924396e-05,-8.25264919512847e-07,-5.71602959098527e-06,-7.99608915258432e-06
"COL6A3",-6.81886813254096e-05,-3.83320875698701e-05,-1.33586827359977e-05,-9.30979058466619e-06
"FRG1B",-1.8154007193516e-05,-3.22991436405573e-05,-1.18803100122022e-05,2.54373412644782e-06
"PRKG2",-1.76308840309503e-05,8.78768150869291e-06,-7.9756836157685e-07,-2.39762016462919e-06
"DOCK5",-2.26916181418346e-05,-3.82243924832437e-05,-1.4554250810761e-05,-3.81808973770603e-07
"ATP11C",-7.55855944589712e-06,1.38416753543424e-05,6.58201179248863e-06,-2.54316591963288e-06
"C3",1.50241439769161e-05,1.47878308780491e-05,3.33818525177776e-06,-7.27190263205557e-06
"TPO",-1.10832861537347e-05,-1.92304050870007e-05,-8.69073664944153e-06,-2.48026617555297e-06
"ENPEP",3.14945214086038e-06,-1.90996670426102e-05,5.21501578987227e-06,2.57612305176735e-06
"ADAM22",4.87933948534192e-06,-1.15979755719309e-05,7.81237031333148e-06,1.66144650393107e-06
"JHDM1D",-7.68784411775414e-06,-2.96871749014826e-05,6.65843890601536e-06,6.97198765919893e-06
"ACTRT1",-9.35967545956373e-06,-3.58622382918838e-05,1.59731871463009e-06,-3.11719099954644e-06
"ATRX",0.546105027198792,-0.00153252319432795,0.63502711057663,6.51509890303714e-06
"NPAP1",4.72793971084684e-07,-2.58967284025857e-05,-1.54428144014673e-05,-7.05949923940352e-06
"HELZ",-3.35046962618435e-07,-3.66613530786708e-05,-3.35452591571084e-06,4.21604454459157e-06
"TTN",-0.000208275188924745,-8.35690952953883e-05,-8.078568498604e-06,-2.90542157017626e-05
"CNTN3",4.46154581368319e-06,-1.08122840174474e-05,-3.56559417014068e-06,-7.54723350837594e-06
"GABRA6",-2.10723101190524e-05,-1.82102048711386e-05,-3.88650096283527e-06,1.76454295797157e-06
"MUC17",-2.30942714551929e-05,-7.41249314160086e-05,4.13539328292245e-06,-7.26937969375285e-07
"COL14A1",-3.10441828332841e-06,-3.86043975595385e-05,4.18908939536777e-06,-2.99210410048545e-06
"ROS1",-7.89684600022156e-06,-6.33211584499804e-06,8.95534685696475e-06,5.97063217355753e-06
"CD163",7.39145946226927e-07,1.42478802445112e-05,-1.48958542922628e-06,-4.06548633691273e-06
"NLRP2",-2.82261424899843e-07,1.83899355761241e-05,8.59871704506077e-07,-3.42813950737764e-06
"HRNR",2.99510088552779e-06,7.75417959175684e-07,-2.61517707258463e-05,-5.32663898411556e-06
"TSHZ2",-3.45026751347177e-06,-2.88279557025817e-06,4.98394456371898e-06,-2.15777231460379e-06
"UGT2B28",7.39145946226927e-07,1.42478802445112e-05,-1.48958542922628e-06,-4.06548633691273e-06
"FRK",-1.60986587616208e-06,-3.86826940257379e-07,2.72083707386628e-06,-2.6682544103096e-06
"RERE",-7.35246567273862e-06,1.10108558146749e-05,7.69127291277982e-06,-2.25885992222175e-06
"PLCH1",-2.40557233155414e-06,-4.60283172287745e-06,9.17299530556193e-06,1.46715792652685e-05
"TRRAP",-3.79102993974811e-06,1.21720604511211e-05,-4.74985563414521e-06,-3.20629533234751e-06
"PLXNA3",-1.45622389027267e-05,-2.92477234324906e-05,-4.378345238365e-06,1.01804062069277e-05
"COL1A2",-7.84698931965977e-06,-1.82484909601044e-05,-7.49200762584223e-06,1.2200962373754e-05
"CELSR1",4.53848724646377e-06,-1.27355206132052e-05,1.13466630864423e-05,-7.96053711837885e-07
"SLIT2",-2.65851167569053e-06,-1.22416868180153e-05,-1.23529764550767e-06,6.74779073506215e-07
"KCNT1",-2.71790736405819e-06,-2.22613307414576e-05,-3.18160482493113e-06,9.40405243454734e-06
"GAS2L2",5.03801902596024e-06,-2.63225138041889e-05,-5.22555126281077e-07,5.6201730558314e-07
"CFHR5",4.96572874908452e-06,-1.5502564565395e-05,-2.23366464524588e-06,7.62876288717962e-06
"ASPM",1.16763089863525e-06,-3.27091365761589e-05,7.11185657564783e-06,7.45978468330577e-07
"SEMA3C",-2.142898438251e-06,-2.71881144726649e-05,-1.20100685307989e-05,-9.33487115162279e-07
"JPH1",2.90819662041031e-06,-1.07223449958838e-05,-5.76987940803519e-06,3.10390169033781e-06
"SMARCA4",4.35828005720396e-05,2.56716484727804e-05,-2.47734769800445e-05,-1.41298323796946e-05
"ABCA4",6.59357226595603e-07,-3.48490243595734e-06,7.75437274569413e-06,5.37251207788358e-06
"OR51G1",-4.70334498459124e-06,-2.25893891183659e-05,-6.82399377183174e-06,4.53327766081202e-06
"HTR3A",-9.05600927580963e-07,-2.70308646577178e-06,1.62967751293763e-06,5.47917352378136e-06
"RB1",-5.57165476493537e-05,-4.04550264647696e-05,8.36150866234675e-06,1.57949289132375e-05
"ATP10A",-6.15994440522627e-06,-5.0876409659395e-05,7.459773314622e-06,-4.97468136018142e-06
"ADAMTS18",-4.64899949292885e-06,-2.75444654107559e-05,-1.44440764415776e-06,8.52508492243942e-06
"NBAS",5.4144065870787e-06,9.11471124709351e-06,-5.32117383045261e-06,8.73615363161662e-07
"ST6GAL2",-3.54213466380315e-06,-5.86150736126001e-06,8.92171328814584e-07,1.51111487411981e-06
"PTPRT",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"AZGP1",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"REPIN1",-4.76862442155834e-06,3.88237322113127e-06,2.52132144851203e-06,-2.98344048133004e-06
"BCOR",6.80642233419348e-06,5.558145858231e-05,-3.83569786208682e-05,2.82155870081624e-05
"SPTA1",-3.47100540238898e-05,-4.67164718429558e-05,-5.76129696128191e-06,1.11146409835783e-05
"REN",-4.96729762744508e-06,1.12020370579557e-05,1.29131035464525e-06,-3.96202540287049e-06
"ACACB",3.94776179746259e-06,6.98812618793454e-06,2.77194772024814e-06,-6.84376436765888e-06
"ESR2",-4.84897839214682e-07,-2.29465276788687e-05,-8.3287013694644e-06,-3.47721788784838e-06
"HERC2",1.61532170750434e-06,-1.50550349644618e-05,-1.05256710014601e-07,-5.89321780353202e-06
"NEB",1.86556990229292e-05,-1.87933692359366e-05,-1.82758176379139e-05,-2.60047869460323e-07
"CABIN1",-5.66240260013728e-06,-2.47612001658126e-06,-2.24502491619205e-05,-4.54917881143047e-06
"ADCY5",-9.080233212444e-06,6.16093620919855e-06,-1.08759729755548e-06,8.38926609958435e-07
"MUC4",-1.05326862467336e-05,1.77563060788088e-06,-2.35939364756632e-06,8.81112669048889e-07
"GABRA4",-6.73896875014179e-06,1.15783122964785e-05,-2.05999258469092e-05,4.01562965635094e-06
"DNAH5",2.08200913220935e-06,1.32734976432403e-05,-1.95567590708379e-05,-2.77367325907107e-06
"PCDHA1",-2.70148793788394e-05,-2.52344289037865e-05,-2.44546231442655e-06,1.02601152320858e-05
"DYNC1I1",-3.47770765074529e-06,4.19163507103804e-06,-3.07556365441997e-06,-8.03642524260795e-06
"ZFAT",5.81129825150128e-06,-7.88700344855897e-06,5.99955819780007e-06,1.64755601872457e-06
"ZFHX3",-1.04200871646754e-05,-1.69831546372734e-05,1.05922310922324e-07,7.73369356465992e-06
"PLCG2",-7.57361522119027e-06,2.15262070923927e-06,1.86064380613971e-06,5.99340455664787e-06
"LRP1B",4.12522268788962e-07,2.08489109354559e-06,9.00479733445536e-07,-5.87118108796858e-07
"DNAH7",-2.06883960345294e-05,-1.94065942196175e-05,-7.52808909965097e-06,-1.43901406772784e-05
"CACNA1D",-1.03005977507564e-05,-1.8777509467327e-05,-1.09011507447576e-05,7.97524626250379e-06
"GABRA1",-1.61704083438963e-05,-6.45766203888343e-06,-4.92161007059622e-07,5.804460215586e-06
"EPPK1",-1.32083114294801e-05,-5.8798508689506e-05,-1.32706582007813e-05,2.02213959710207e-05
"DNAH11",-1.64764278451912e-05,-3.68667642760556e-05,-7.31530963093974e-06,-5.54802545593702e-06
"KIF19",-4.61035824628198e-06,-9.08012736999808e-07,3.33577895617054e-06,5.31526256963843e-06
"OR5AR1",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"TMEM132B",7.83073801358114e-08,-1.94335443666205e-05,2.08684991775954e-06,-1.86592035333888e-06
"FANCM",6.33678473604959e-06,-7.10795939085074e-06,1.11191639007302e-06,9.46567070059245e-06
"APOB",6.42543727735756e-06,-4.28419152740389e-05,1.19574997370364e-06,4.55628651252482e-06
"NRXN1",-5.90346917306306e-06,1.40505435410887e-05,-3.46975502907299e-06,9.54044662648812e-06
"COL7A1",1.07386733816384e-06,-6.68557277094806e-06,-8.31955367175397e-06,-2.97038036478625e-06
"ANK2",-1.76594494405435e-06,-1.06275419966551e-05,-4.28860175816226e-06,8.72942166552093e-07
"SYNE1",1.12014558908413e-05,1.93961186596425e-05,-8.09653465694282e-06,2.26911415666109e-05
"Unknown",-0.000703002151567489,-0.000166356068802997,-0.000107504172774497,-2.04804018721916e-05
"PTPRD",-9.49911827774486e-06,1.676587203292e-06,-2.20692459151905e-06,1.64511436651082e-06
"CFH",-2.93225321001955e-06,2.85592705040472e-05,5.39162056156783e-06,-1.36533280965523e-05
"ZNF492",-1.97463714357582e-06,-6.80991342960624e-06,-4.0817881199473e-06,-7.53500944483676e-06
"CEACAM5",-2.58127010965836e-06,-7.66129323892528e-06,5.57419207325438e-06,9.82408164418302e-06
"LILRB2",-5.73649822399602e-06,-2.36174091696739e-05,2.74383364740061e-06,-1.03104457593872e-05
"HEATR5B",-1.78164509634371e-06,1.11500939965481e-05,-3.26632616634015e-05,1.60434728968539e-06
"LZTR1",-1.12435418486712e-05,-2.25309286179254e-05,-2.16064763662871e-05,-8.97860081749968e-06
"DEPDC5",-1.79452599695651e-05,-3.41309896612074e-05,-1.02246913229465e-05,-2.76419586953125e-06
"CUBN",2.175195959353e-06,2.81676184386015e-05,8.7926292735574e-07,-7.27871929484536e-06
"PTPRB",5.72477119931136e-06,1.85836888704216e-05,-1.26938384710229e-05,-8.56258066050941e-06
"ANKRD11",1.22478295452311e-05,5.33843740413431e-06,1.25340420709108e-07,-1.74175092979567e-05
"TCHH",-1.27980174511322e-05,-4.18242525483947e-05,-2.47874868364306e-05,-2.26255269808462e-05
"RYR2",-1.15851171358372e-05,-0.00010313413804397,2.59557255049003e-05,-1.21070352179231e-05
"ZNF638",-7.79330093791941e-06,-9.25427775655407e-06,4.59050397694227e-06,1.59198020810436e-06
"KCNH8",1.07972573459847e-06,1.34129450088949e-05,3.69059694094176e-06,-3.23664244206157e-06
"FLG2",-1.14953272714047e-05,-3.19689315801952e-05,-1.44419636853854e-05,-8.70840358402347e-06
"F5",-1.12031902972376e-05,-4.64143823819541e-07,-8.7170346887433e-06,8.14354461908806e-06
"NAV3",-3.04656236949086e-06,2.31364879255125e-06,5.52407436771318e-06,-5.67785536986776e-06
"FBN3",-1.99542027985444e-05,-1.01095602076384e-05,1.20284985314356e-05,7.72325984144118e-06
"MYH15",7.70484166423557e-06,1.26471024941566e-06,-1.16722389975621e-06,9.97188817564165e-06
"DST",9.87108069239184e-06,7.96020594862057e-06,4.83052235722425e-06,-8.98449525266187e-06
"PCLO",-3.75501585949678e-05,-3.45258304150775e-05,-7.0460469032696e-06,-1.2164933650638e-05
"ENPP2",-5.45612374480697e-06,6.15668477621512e-06,2.85614623862784e-06,7.29231771856576e-07
"NHS",5.08586845171521e-06,2.65784274233738e-05,-1.9926101231249e-05,8.09696939541027e-06
"PCDH11X",-4.99416410093545e-06,-1.52757766045397e-05,2.98504642159969e-06,-3.14746603180538e-06
"DOCK11",6.42051190880011e-07,-2.58001691690879e-05,-9.40432346396847e-06,4.35375886809197e-06
"GRHL3",-1.77642948528955e-06,-2.29018569370965e-05,-6.38758501736447e-06,8.17357067717239e-06
"PCDH15",2.90462162411131e-06,-1.62615378940245e-05,6.22299523911352e-07,-2.77107005786092e-06
"OR5D18",-3.34101400767395e-07,-7.43538464575977e-07,-1.60657455126056e-05,-4.49667277280241e-06
"PIK3C2G",-4.90285356136155e-06,-7.36589572625235e-06,-3.32611216435907e-06,5.17939815836144e-06
"LUM",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"PAN3",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"LRFN5",-5.0726521294564e-05,-4.31040389230475e-05,4.38355891674291e-06,8.20244804344838e-06
"ADCY9",-2.89221202365297e-06,7.57374266413535e-07,2.88160413219885e-06,9.62245394475758e-06
"HYDIN",-5.58805595574086e-06,-1.46556294566835e-05,-3.27968155033886e-06,4.6497916628141e-06
"TJP3",-5.82803568249801e-06,-7.41685653338209e-06,-3.19432092510397e-06,4.74806029160391e-06
"POTEE",-3.85712291972595e-06,1.44811947393464e-05,2.275533233842e-06,-3.34676110469445e-06
"THSD7B",-4.05316040996695e-06,-2.97637507173931e-05,-1.65581350302091e-05,-4.36984464613488e-06
"XIRP2",-6.03772105023381e-06,-9.91584784060251e-07,4.15635940953507e-06,1.48753099438181e-06
"SEMG1",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"FRAS1",-4.33036262847963e-07,-2.01268030650681e-05,-1.13664700620575e-05,-1.04622649814701e-05
"SLC6A3",7.37013260732056e-06,-3.37464953190647e-05,-3.4120417694794e-05,-1.11871449917089e-05
"FAT2",-6.59694342175499e-06,-3.68761975551024e-05,1.35904474518611e-06,8.01428768681944e-07
"ZNF292",7.30546616978245e-06,3.97682124457788e-05,-4.31445150752552e-05,1.43318587220165e-07
"ZPBP",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"POM121L12",-1.81208397407318e-05,-1.64631601364817e-05,1.05578819784569e-05,3.80470328309457e-06
"TRPA1",6.58673707221169e-06,-8.69406358106062e-06,1.0430786460347e-05,-9.40348854783224e-07
"DOCK8",4.44387154630022e-07,2.86595491161279e-06,4.63248215964995e-06,-1.99023929781106e-06
"DMD",-3.19592913911038e-06,-2.80516869679559e-05,2.36903261452426e-08,5.13757186126895e-06
"MED12",-4.85392956761643e-06,-2.72691686404869e-05,-3.98678912461037e-06,1.36870730784722e-05
"ODZ1",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"PLA2G4A",-1.00452621154545e-06,-1.66047957463888e-05,9.56412691266451e-07,-3.00217334370245e-06
"A2M",-4.15050635638181e-06,-1.97963363461895e-05,-6.1779678617313e-06,-8.28644999728567e-07
"RYR3",4.55420695288922e-06,-3.91875983041245e-05,-2.89783583866665e-05,-1.26243039630936e-05
"USP6",-1.08539461507462e-05,2.94739106720954e-06,5.55212272956851e-06,1.49214088196459e-06
"DNAH17",-1.28017813949555e-06,1.19351452667615e-05,4.60653200207162e-06,-7.11348957338487e-06
"KIAA1012",-1.19916066978476e-05,-2.27990676648915e-05,5.06660671817372e-06,6.93709671395482e-06
"XDH",-6.0265833781159e-06,-2.24985415115952e-05,-1.02392323242384e-05,1.88494614121737e-05
"UGT2A3",1.11977590222523e-06,-7.45903435017681e-07,3.84071972803213e-06,-3.12575912175816e-06
"GPR98",-2.10548914765241e-05,1.60150993906427e-05,-9.08378206077032e-06,-1.03042093542172e-05
"DSP",-5.43955866305623e-06,-5.26926032762276e-06,-6.20985360910709e-07,-3.82920097763417e-06
"FAM83H",-9.15287910174811e-06,-1.95757456822321e-05,-1.65055153047433e-05,-1.23642103062593e-05
"ACAN",-4.66268659238267e-07,2.40207209571963e-05,2.91435571853071e-06,9.72387260844698e-06
"NOTCH3",-3.42182647727896e-06,2.86894464807119e-05,-7.84434723755112e-06,1.67018170031952e-05
"UGGT1",-4.33807053923374e-06,2.70543914666632e-05,-2.63512856690795e-06,8.34335332910996e-06
"TP63",-1.11989666038426e-05,-2.90452444460243e-05,-2.70234590971086e-06,-2.8101353564125e-06
"NLRP3",-9.19984722713707e-06,1.51435169755132e-05,-6.66383584757568e-06,-1.08234435174381e-05
"AHNAK",-2.12238537642406e-05,-3.94989110645838e-05,-1.80054121301509e-05,-1.18599191409885e-05
"OR4D5",-5.70917381992331e-06,-1.43126662806026e-05,-6.90976821715594e-06,-4.25077178078936e-06
"TPTE",-6.14113378105685e-06,-6.25248576398008e-05,-2.20335623453138e-05,-1.14283884613542e-05
"SETD2",-1.79419912456069e-05,-2.03620111278724e-05,-1.28836172734736e-05,-1.46991169458488e-05
"QKI",-1.18341849884018e-05,-1.2223734302097e-05,-6.96794859322836e-06,-8.12133657746017e-06
"CACNA2D1",-5.70917381992331e-06,-1.43126662806026e-05,-6.90976821715594e-06,-4.25077178078936e-06
"SAMD9L",-5.70917381992331e-06,-1.43126662806026e-05,-6.90976821715594e-06,-4.25077178078936e-06
"TRPM6",-1.24377220345195e-05,-2.4155558548955e-06,6.79538516124012e-07,-1.42372418849845e-05
"TLR7",-6.27675854047993e-06,9.25376298255287e-06,-2.09028185054194e-05,3.98734641748888e-07
"AFF2",-7.42096688099991e-07,4.11737601098139e-05,-1.97803474293323e-05,1.51855656440603e-05
"L1CAM",-2.56264866038691e-05,-3.38726422342006e-05,-2.02723495021928e-05,-9.21927403396694e-06
"MAP1S",-4.99416410093545e-06,-1.52757766045397e-05,2.98504642159969e-06,-3.14746603180538e-06
"PDGFRA",-1.89189795491984e-05,-3.63044855475891e-05,2.61275499724434e-06,-1.84617019840516e-05
"PPP1R3A",-4.99416410093545e-06,-1.52757766045397e-05,2.98504642159969e-06,-3.14746603180538e-06
"MKI67",-3.78394382494207e-08,-2.10294656426413e-05,1.38835939651472e-05,-5.03540422869264e-06
"CYP2B6",2.96750886263908e-06,-5.90940226175007e-06,2.37797257796046e-06,4.95530002808664e-06
"DCAF12L2",6.41636142972857e-06,-1.48717890624539e-05,8.02100203145528e-06,1.49219922604971e-05
"ITPR2",-3.26280058970951e-07,-3.14372264256235e-05,-2.47590051003499e-05,3.56829150405247e-06
"RYR1",-3.33315574607695e-06,-8.24955895950552e-06,-1.86235211003805e-05,-2.47958232648671e-05
"LRP2",-9.15689895464311e-07,-1.82704334292794e-05,-1.20831427921075e-05,2.10446728488023e-06
"AADACL2",-5.08238827023888e-06,8.91699437488569e-06,-4.33465174864978e-06,-1.13567302832962e-05
"SDK1",-8.46489638206549e-06,-3.15102988679428e-05,-7.1623412623012e-07,-5.37008463652455e-06
"PKD1L1",-1.18228981591528e-05,-2.54088117799256e-05,-1.05121271190001e-05,-1.06622701423476e-05
"DOCK4",2.27755450055156e-07,-3.10229843307752e-05,-5.35667322765221e-06,-1.1803748748207e-05
"C12orf63",3.28215605804871e-06,-1.79224880412221e-05,5.88823354519263e-07,-5.91750767853227e-06
"CHD8",-2.39607725234237e-05,-7.47060539652011e-06,7.07901676832989e-07,-6.18314061284764e-06
"SPTBN5",2.45016371991369e-06,3.50845621142071e-05,-4.50037441623863e-06,3.69321810467227e-07
"LAMA3",-3.81413724426238e-06,2.92525746772299e-05,1.9367028016859e-06,5.88430395964679e-07
"CIC",0.251567602157593,0.00087700184667483,-0.385109812021255,6.1178179748822e-05
"ITPR1",-1.68970086633635e-06,-8.59369083627826e-06,-3.43607644026633e-06,-2.03318177227629e-06
"TRPC7",3.44595309798024e-06,1.29176041809842e-05,6.85551412971108e-07,-7.29282919564866e-06
"SSPO",8.74323086463846e-06,-1.74414926732425e-05,-1.46875909194932e-05,-1.49457509905915e-05
"MMP13",-5.02558214066084e-06,-1.59679730131757e-05,-1.3994385881233e-05,-4.84098200104199e-06
"CACNA1C",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"HERC1",4.23090568801854e-06,2.21044811041793e-05,-3.97527146560606e-05,-1.27748080558376e-05
"PBRM1",1.39598319037759e-06,1.19438691399409e-05,-1.58013790496625e-05,1.04289065347984e-05
"UGT2B11",-9.42817950999597e-06,3.79175144189503e-05,-5.72432497847331e-07,-2.36100777328829e-06
"ADAM29",3.76500525200996e-10,-1.09507569678868e-09,6.47388920249625e-10,-2.03500175044447e-10
"RBMXL1",5.97173038840992e-06,9.46472937357612e-06,-1.10408418549923e-05,5.56141124263831e-08
"ZNF831",-6.60572595734266e-06,2.1813055354869e-05,8.68317420099629e-06,-1.72933914655005e-06
"MYH2",-8.83323991729412e-06,-2.57509623224905e-06,2.04839489015285e-05,1.53153052906418e-06
"KPRP",-8.95715493243188e-06,1.24556265745923e-06,-1.3276599929668e-05,-1.27288712974405e-05
"TPTE2",-1.58423051743739e-06,-3.60440171789378e-05,3.36363109454396e-06,1.06744773802347e-05
