"","Factor 1","Factor 2","Factor 3","Factor 4"
"ARID1A",3.34483302140143e-05,4.18656163674314e-05,-3.81458703486715e-05,-3.90246350434609e-05
"WDR63",-5.9927524489467e-06,4.50745574198663e-06,-2.17231695387454e-06,3.8482216950797e-06
"NBPF10",-1.13923670141958e-05,-1.79386261152104e-05,-6.28227917331969e-06,-3.13369628202054e-06
"CR2",-5.0069902499672e-06,-7.64139531383989e-06,9.50734556681709e-06,-5.62912873647292e-06
"TUBA3C",-8.22468064143322e-06,-3.08989838231355e-05,-1.32906534417998e-05,2.73253544946783e-06
"AHNAK2",-4.12336194131058e-05,-3.5408647818258e-05,-6.30039576208219e-05,1.61380594363436e-05
"ADAMTS7",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"KRT37",-1.45505305226834e-06,-9.58372584136669e-06,-8.47098181111505e-06,-8.55006237543421e-06
"DGKD",-1.11280469354824e-05,-7.42163308586896e-07,-6.19331058260286e-06,-7.40997575121582e-06
"COL6A3",-7.54367647459731e-05,-3.1558931368636e-05,-1.38405284815235e-05,-8.61289663589559e-06
"FRG1B",-2.01098882826045e-05,-2.66802144324174e-05,-1.22751871458604e-05,2.34007484323229e-06
"PRKG2",-1.95080810954096e-05,7.20758907846175e-06,-8.45021190798434e-07,-2.21232903641067e-06
"DOCK5",-2.51150777330622e-05,-3.14255084958859e-05,-1.52123384395964e-05,-3.72133570181177e-07
"ATP11C",-8.35961509437766e-06,1.14752938316087e-05,6.98819985700538e-06,-2.32730485549837e-06
"C3",1.66307981999125e-05,1.21556395242806e-05,3.42828411703522e-06,-6.71296993459691e-06
"TPO",-1.2242672710272e-05,-1.58615202963119e-05,-9.52157279243693e-06,-2.33367632063164e-06
"ENPEP",3.49188371728815e-06,-1.55297821038403e-05,5.68120822208584e-06,2.39997143580695e-06
"ADAM22",5.39394659426762e-06,-9.35645584831946e-06,8.54509380587842e-06,1.57234512698778e-06
"JHDM1D",-8.52863286127103e-06,-2.41543293668656e-05,7.67652272770647e-06,6.50409492664039e-06
"ACTRT1",-1.0379308150732e-05,-2.93199791485677e-05,2.24151381189586e-06,-2.82243490801193e-06
"ATRX",0.543774902820587,-0.00102081929799169,0.617212057113647,6.69844303047284e-06
"NPAP1",5.25741540968738e-07,-2.14511910598958e-05,-1.65398996614385e-05,-6.56846304991632e-06
"HELZ",-3.74306324602003e-07,-3.00245192192961e-05,-3.3671149139991e-06,3.89513434129185e-06
"TTN",-0.000229494908126071,-6.81950550642796e-05,-8.21309640741674e-06,-2.73866990028182e-05
"CNTN3",4.93465449835639e-06,-8.90240244189044e-06,-3.78173149329086e-06,-6.97622317602509e-06
"GABRA6",-2.33458958973642e-05,-1.49592633533757e-05,-3.68529708794085e-06,1.65319784173334e-06
"MUC17",-2.56084385910071e-05,-6.03030675847549e-05,5.51406037629931e-06,-5.6454365449099e-07
"COL14A1",-3.44671366292459e-06,-3.14489916490857e-05,4.91029368276941e-06,-2.70777036348591e-06
"ROS1",-8.75228124641581e-06,-4.99812631460372e-06,9.99883013719227e-06,5.57265821043984e-06
"CD163",8.2751017771443e-07,1.16424907901092e-05,-1.81501616225432e-06,-3.77226319869806e-06
"NLRP2",-2.86674492144812e-07,1.51352105604019e-05,4.08856408284919e-07,-3.20182334689889e-06
"HRNR",3.33133948515751e-06,2.07112677230725e-07,-2.84994130197447e-05,-5.03103274240857e-06
"TSHZ2",-3.80746814698796e-06,-2.20877154788468e-06,5.27248221260379e-06,-1.97775102606101e-06
"UGT2B28",8.2751017771443e-07,1.16424907901092e-05,-1.81501616225432e-06,-3.77226319869806e-06
"FRK",-1.76722892319958e-06,-2.10947206369383e-07,2.74581293524534e-06,-2.46482795773773e-06
"RERE",-8.13379847386386e-06,9.19702051760396e-06,8.23328991828021e-06,-2.05664400709793e-06
"PLCH1",-2.65447647507244e-06,-3.52939582626277e-06,9.68384028965374e-06,1.36314247356495e-05
"TRRAP",-4.20497235609218e-06,9.85821316135116e-06,-5.03701130583067e-06,-2.9671484753635e-06
"PLXNA3",-1.61243769980501e-05,-2.39790479099611e-05,-4.35379706686945e-06,9.42615224630572e-06
"COL1A2",-8.70079657033784e-06,-1.50797022797633e-05,-7.74401905800914e-06,1.12940069811884e-05
"CELSR1",5.0056560212397e-06,-1.02261774372892e-05,1.25307915368467e-05,-6.64835965835664e-07
"SLIT2",-2.94938263323274e-06,-1.00622664831462e-05,-1.1479099839562e-06,6.32640819731023e-07
"KCNT1",-3.02335911328555e-06,-1.83043975994224e-05,-3.0368380521395e-06,8.7123189587146e-06
"GAS2L2",5.57842759008054e-06,-2.15290510823252e-05,-5.01370493566355e-07,5.21185938850977e-07
"CFHR5",5.49478590983199e-06,-1.27258099382743e-05,-2.34860408454551e-06,7.03923615219537e-06
"ASPM",1.27978069031087e-06,-2.66210790869081e-05,8.05422951088985e-06,7.47880960716429e-07
"SEMA3C",-2.38360235016444e-06,-2.24787127081072e-05,-1.25928063425818e-05,-8.78764694789425e-07
"JPH1",3.22254254569998e-06,-8.87935493665282e-06,-6.25608208792983e-06,2.83511371890199e-06
"SMARCA4",4.83041621919256e-05,2.05937740247464e-05,-2.78519328276161e-05,-1.32852510432713e-05
"ABCA4",7.23542541436473e-07,-2.70787518275029e-06,8.48915351525648e-06,4.99725865665823e-06
"OR51G1",-5.22048867424019e-06,-1.86121324077249e-05,-6.94230993758538e-06,4.18796025769552e-06
"HTR3A",-9.95976165540924e-07,-2.14702868106542e-06,1.68325584581908e-06,5.05379557580454e-06
"RB1",-6.17007171967998e-05,-3.29164686263539e-05,9.73746227828087e-06,1.47701721289195e-05
"ATP10A",-6.8429012571869e-06,-4.14235837524757e-05,8.71342581376666e-06,-4.50156949227676e-06
"ADAMTS18",-5.15896635988611e-06,-2.25425374082988e-05,-1.1471604466351e-06,7.90457124821842e-06
"NBAS",5.99888699071016e-06,7.32314492779551e-06,-5.93504682910861e-06,7.67433789405914e-07
"ST6GAL2",-3.91345793104847e-06,-4.75931983601185e-06,9.35080663566623e-07,1.39349970140756e-06
"PTPRT",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"AZGP1",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"REPIN1",-5.27609063283307e-06,3.21824882121291e-06,2.70172495220322e-06,-2.74152694146323e-06
"BCOR",7.55353539716452e-06,4.47103884653188e-05,-4.23897545260843e-05,2.63170786638511e-05
"SPTA1",-3.85141793231014e-05,-3.84065860998817e-05,-5.00782198287197e-06,1.03659167507431e-05
"REN",-5.49545302419574e-06,9.20335696719121e-06,1.34365461690322e-06,-3.65194091500598e-06
"ACACB",4.37320886703674e-06,5.76494221604662e-06,2.8888155156892e-06,-6.31320199317997e-06
"ESR2",-5.69626877222618e-07,-1.90333757927874e-05,-8.31476063467562e-06,-3.18240995511587e-06
"HERC2",1.77053766492463e-06,-1.23801746667596e-05,2.29704639309602e-07,-5.40660903425305e-06
"NEB",2.06314307433786e-05,-1.57527920237044e-05,-1.96079945453675e-05,-3.01811468261803e-07
"CABIN1",-6.25155325906235e-06,-2.41219504459877e-06,-2.43794747802895e-05,-4.29282226832584e-06
"ADCY5",-1.00461957117659e-05,5.0494413699198e-06,-1.26148120216385e-06,7.606363396917e-07
"MUC4",-1.16788050945615e-05,1.38557436457631e-06,-2.19748221752525e-06,8.32104944947787e-07
"GABRA4",-7.4456429501879e-06,9.11905135581037e-06,-2.24830582737923e-05,3.60341255145613e-06
"DNAH5",2.32676097766671e-06,1.05675080703804e-05,-2.15308828046545e-05,-2.66350798483472e-06
"PCDHA1",-2.99400198855437e-05,-2.07427983696107e-05,-1.85454928214313e-06,9.5462337412755e-06
"DYNC1I1",-3.84477425541263e-06,3.39398889082076e-06,-3.38962399837328e-06,-7.44013595976867e-06
"ZFAT",6.42743589196471e-06,-6.36026197753381e-06,6.55861049381201e-06,1.54996087076142e-06
"ZFHX3",-1.15341636046651e-05,-1.38671175591298e-05,2.80388604778636e-07,7.15476562618278e-06
"PLCG2",-8.37614970805589e-06,1.8277730760019e-06,1.98910493054427e-06,5.53479230802623e-06
